ITEM_CODE,date,scripts,cost,cost_per_script,DRUG_NAME,FORM/STRENGTH
01418P,2025-09-01,12667,1284599.02,101.41304334096472,TICAGRELOR,Tablet 90 mg
01418P,2025-10-01,12879,1306347.79,101.43239304293812,TICAGRELOR,Tablet 90 mg
01418P,2025-11-01,12130,1230134.49,101.41257131079966,TICAGRELOR,Tablet 90 mg
01418P,2025-12-01,13493,1368210.47,101.40150226043133,TICAGRELOR,Tablet 90 mg
01418P,2026-01-01,11248,1140744.62,101.41755156472263,TICAGRELOR,Tablet 90 mg
01418P,2026-02-01,10835,1099122.24,101.44183110290724,TICAGRELOR,Tablet 90 mg
01418P,2026-03-01,11977,1214886.93,101.43499457293144,TICAGRELOR,Tablet 90 mg
01418P,2026-04-01,11446,1159940.0,101.34020618556701,TICAGRELOR,Tablet 90 mg
01418P,2026-05-01,11665,1183001.54,101.41461980282898,TICAGRELOR,Tablet 90 mg
01418P,2026-06-01,11524,1168688.14,101.41341027421034,TICAGRELOR,Tablet 90 mg
02735Y,2022-07-01,206168,19350803.53,93.85939394086377,APIXABAN,Tablet 5 mg
02735Y,2022-08-01,218753,20533392.54,93.86565002537108,APIXABAN,Tablet 5 mg
02735Y,2022-09-01,211853,19887073.07,93.87203896097766,APIXABAN,Tablet 5 mg
02735Y,2022-10-01,216027,20277517.740000002,93.8656637364774,APIXABAN,Tablet 5 mg
02735Y,2022-11-01,221934,20830532.73,93.85913257995621,APIXABAN,Tablet 5 mg
02735Y,2022-12-01,247942,23270224.93,93.85350174637617,APIXABAN,Tablet 5 mg
02735Y,2023-01-01,196941,18485971.19,93.8655292194109,APIXABAN,Tablet 5 mg
02735Y,2023-02-01,201978,18960040.89,93.87181222707424,APIXABAN,Tablet 5 mg
02735Y,2023-03-01,234777,22035789.89,93.85838429658783,APIXABAN,Tablet 5 mg
02735Y,2023-04-01,216932,19466877.79,89.73723466339682,APIXABAN,Tablet 5 mg
02735Y,2023-05-01,242942,21796147.04,89.71749240559475,APIXABAN,Tablet 5 mg
02735Y,2023-06-01,233315,20942809.9,89.76195229625185,APIXABAN,Tablet 5 mg
02735Y,2023-07-01,237094,21483311.11,90.61094380287987,APIXABAN,Tablet 5 mg
02735Y,2023-08-01,248427,22507998.73,90.60206310103169,APIXABAN,Tablet 5 mg
02735Y,2023-09-01,234346,21240098.59,90.63563529994111,APIXABAN,Tablet 5 mg
02735Y,2023-10-01,240910,21835739.75,90.63857768461251,APIXABAN,Tablet 5 mg
02735Y,2023-11-01,240321,21780498.61,90.63085876806437,APIXABAN,Tablet 5 mg
02735Y,2023-12-01,257266,23317725.94,90.63664044218825,APIXABAN,Tablet 5 mg
02735Y,2024-01-01,211116,19138088.700000003,90.65200505883023,APIXABAN,Tablet 5 mg
02735Y,2024-02-01,217220,19689795.009999998,90.64448490010128,APIXABAN,Tablet 5 mg
02735Y,2024-03-01,224806,20374420.15,90.63112261238578,APIXABAN,Tablet 5 mg
02735Y,2024-04-01,230316,20869258.46,90.61141414404558,APIXABAN,Tablet 5 mg
02735Y,2024-05-01,240754,21812056.39,90.59893663241317,APIXABAN,Tablet 5 mg
02735Y,2024-06-01,218476,19798232.87,90.61971507167836,APIXABAN,Tablet 5 mg
02735Y,2024-07-01,245210,22334449.970000003,91.08294918641165,APIXABAN,Tablet 5 mg
02735Y,2024-08-01,229550,15507531.08,67.55622339359617,APIXABAN,Tablet 5 mg
02735Y,2024-09-01,222319,15022204.08,67.57049141099051,APIXABAN,Tablet 5 mg
02735Y,2024-10-01,237951,16078107.26,67.56898378237535,APIXABAN,Tablet 5 mg
02735Y,2024-11-01,228797,15458564.1,67.56454018190797,APIXABAN,Tablet 5 mg
02735Y,2024-12-01,256006,17297223.96,67.56569752271432,APIXABAN,Tablet 5 mg
02735Y,2025-01-01,206941,13985747.870000001,67.58326223416337,APIXABAN,Tablet 5 mg
02735Y,2025-02-01,206829,13976291.47,67.57413839451915,APIXABAN,Tablet 5 mg
02735Y,2025-03-01,226338,15292386.36,67.56437876096811,APIXABAN,Tablet 5 mg
02735Y,2025-04-01,225781,15249777.77,67.54234311124496,APIXABAN,Tablet 5 mg
02735Y,2025-05-01,235680,15915128.940000001,67.52855117107944,APIXABAN,Tablet 5 mg
02735Y,2025-06-01,224423,15160952.21,67.55525151165433,APIXABAN,Tablet 5 mg
02735Y,2025-07-01,241397,16385223.83,67.87666719139011,APIXABAN,Tablet 5 mg
02735Y,2025-08-01,230905,15675857.99,67.88877672635932,APIXABAN,Tablet 5 mg
02735Y,2025-09-01,234515,15920835.08,67.88834437029614,APIXABAN,Tablet 5 mg
02735Y,2025-10-01,245584,16672992.18,67.89119885660304,APIXABAN,Tablet 5 mg
02735Y,2025-11-01,230766,15665829.319999998,67.88621079361776,APIXABAN,Tablet 5 mg
02735Y,2025-12-01,272847,18524785.66,67.89440844136091,APIXABAN,Tablet 5 mg
02735Y,2026-01-01,212516,14430199.43,67.90170824784957,APIXABAN,Tablet 5 mg
02735Y,2026-02-01,216026,14668151.06,67.8999336191014,APIXABAN,Tablet 5 mg
02735Y,2026-03-01,246182,16713176.58,67.88951499297268,APIXABAN,Tablet 5 mg
02735Y,2026-04-01,235030,15951586.89,67.87042883887163,APIXABAN,Tablet 5 mg
02735Y,2026-05-01,242689,16470450.47,67.866489498906,APIXABAN,Tablet 5 mg
02735Y,2026-06-01,245099,16639949.69,67.89072860354388,APIXABAN,Tablet 5 mg
02744K,2022-07-01,86308,8104093.15,93.89735771886731,APIXABAN,Tablet 2.5 mg
02744K,2022-08-01,92670,8701206.77,93.89453728283155,APIXABAN,Tablet 2.5 mg
02744K,2022-09-01,88939,8350949.51,93.89524854113493,APIXABAN,Tablet 2.5 mg
02744K,2022-10-01,89458,8400497.03,93.90436886583647,APIXABAN,Tablet 2.5 mg
02744K,2022-11-01,92294,8664611.7,93.8805523652675,APIXABAN,Tablet 2.5 mg
02744K,2022-12-01,102100,9583950.74,93.8682736532811,APIXABAN,Tablet 2.5 mg
02744K,2023-01-01,79745,7489815.2700000005,93.92206746504483,APIXABAN,Tablet 2.5 mg
02744K,2023-02-01,82160,7715909.45,93.91321141674781,APIXABAN,Tablet 2.5 mg
02744K,2023-03-01,95171,8935849.59,93.89256800916246,APIXABAN,Tablet 2.5 mg
02744K,2023-04-01,85206,7650573.569999999,89.7891412576579,APIXABAN,Tablet 2.5 mg
02744K,2023-05-01,96935,8702120.96,89.77274421003766,APIXABAN,Tablet 2.5 mg
02744K,2023-06-01,92632,8318213.199999999,89.79848432507124,APIXABAN,Tablet 2.5 mg
02744K,2023-07-01,92778,8410152.84,90.648136842786,APIXABAN,Tablet 2.5 mg
02744K,2023-08-01,97964,8879888.6,90.64440610836634,APIXABAN,Tablet 2.5 mg
02744K,2023-09-01,91370,8282619.04,90.64921790522054,APIXABAN,Tablet 2.5 mg
02744K,2023-10-01,94596,8575293.22,90.65175292824222,APIXABAN,Tablet 2.5 mg
02744K,2023-11-01,94445,8561489.41,90.65053110275822,APIXABAN,Tablet 2.5 mg
02744K,2023-12-01,100034,9068634.78,90.65552492152668,APIXABAN,Tablet 2.5 mg
02744K,2024-01-01,81959,7433139.45,90.69338876755451,APIXABAN,Tablet 2.5 mg
02744K,2024-02-01,84191,7634168.710000001,90.676779109406,APIXABAN,Tablet 2.5 mg
02744K,2024-03-01,86277,7823169.649999999,90.6750310047869,APIXABAN,Tablet 2.5 mg
02744K,2024-04-01,88255,8001064.779999999,90.65848711121183,APIXABAN,Tablet 2.5 mg
02744K,2024-05-01,92707,8403036.28,90.64079605639272,APIXABAN,Tablet 2.5 mg
02744K,2024-06-01,83554,7574430.7,90.65311894104411,APIXABAN,Tablet 2.5 mg
02744K,2024-07-01,95177,8672512.54,91.11983504418083,APIXABAN,Tablet 2.5 mg
02744K,2024-08-01,87061,6013120.28,69.06789814038433,APIXABAN,Tablet 2.5 mg
02744K,2024-09-01,84195,5815309.71,69.06953750222698,APIXABAN,Tablet 2.5 mg
02744K,2024-10-01,91040,6287421.3100000005,69.06218486379613,APIXABAN,Tablet 2.5 mg
02744K,2024-11-01,86491,5973620.41,69.06638158883584,APIXABAN,Tablet 2.5 mg
02744K,2024-12-01,97593,6739304.62,69.05520498396402,APIXABAN,Tablet 2.5 mg
02744K,2025-01-01,78762,5441289.01,69.08520619080267,APIXABAN,Tablet 2.5 mg
02744K,2025-02-01,78588,5429475.03,69.08783821957552,APIXABAN,Tablet 2.5 mg
02744K,2025-03-01,85010,5872118.13,69.07561616280438,APIXABAN,Tablet 2.5 mg
02744K,2025-04-01,84566,5840317.0200000005,69.06223565026134,APIXABAN,Tablet 2.5 mg
02744K,2025-05-01,89080,6150402.92,69.04358913336327,APIXABAN,Tablet 2.5 mg
02744K,2025-06-01,84738,5851322.8,69.05193419717246,APIXABAN,Tablet 2.5 mg
02744K,2025-07-01,90674,6291650.46,69.38759137128615,APIXABAN,Tablet 2.5 mg
02744K,2025-08-01,86395,5994550.2,69.38538341339198,APIXABAN,Tablet 2.5 mg
02744K,2025-09-01,87904,6100144.63,69.39552955496906,APIXABAN,Tablet 2.5 mg
02744K,2025-10-01,91683,6362177.74,69.39321073699595,APIXABAN,Tablet 2.5 mg
02744K,2025-11-01,85606,5940467.48,69.39312057566059,APIXABAN,Tablet 2.5 mg
02744K,2025-12-01,102324,7100892.87,69.39616189750205,APIXABAN,Tablet 2.5 mg
02744K,2026-01-01,78622,5457370.73,69.41276907226985,APIXABAN,Tablet 2.5 mg
02744K,2026-02-01,80973,5619603.48,69.40095439220481,APIXABAN,Tablet 2.5 mg
02744K,2026-03-01,92020,6385970.59,69.39763736144316,APIXABAN,Tablet 2.5 mg
02744K,2026-04-01,86883,6029385.859999999,69.39661222563677,APIXABAN,Tablet 2.5 mg
02744K,2026-05-01,90236,6261141.19,69.38628917505208,APIXABAN,Tablet 2.5 mg
02744K,2026-06-01,91313,6336132.69,69.38916353640775,APIXABAN,Tablet 2.5 mg
02753X,2022-07-01,24250,1979405.3800000001,81.62496412371135,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2022-08-01,25565,2086933.27,81.63243770780363,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2022-09-01,24574,2005998.6,81.6309351346952,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2022-10-01,24674,2013795.9100000001,81.61611048066791,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2022-11-01,25087,2047574.2100000002,81.61893450791247,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2022-12-01,27899,2276796.36,81.6085293379691,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-01-01,20755,1694138.02,81.6255369790412,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-02-01,21502,1755707.75,81.65322993209934,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-03-01,24455,1996362.75,81.63413412390105,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-04-01,22267,1817279.8900000001,81.61314456370414,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-05-01,24571,2004261.6600000001,81.57021122461438,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-06-01,23427,1911769.4000000001,81.60538694668546,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-07-01,23099,1904470.92,82.44819775747868,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-08-01,24053,1984032.9400000002,82.48588284205714,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-09-01,22371,1845174.8800000001,82.48066157078361,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-10-01,22736,1875149.16,82.4748926812104,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-11-01,23420,1931313.73,82.46429248505551,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2023-12-01,23227,1228638.88,52.897011236922545,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-01-01,18512,979170.12,52.89380509939499,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-02-01,18868,998149.4400000001,52.90170871316515,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-03-01,19432,1027846.1799999999,52.894513174145736,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-04-01,19648,1038578.42,52.85924368892508,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-05-01,20238,1069756.82,52.858821029746025,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-06-01,18106,956942.0800000001,52.85220810780957,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-07-01,19285,1028711.4,53.342566761731916,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-08-01,18660,995424.7000000001,53.345375133976425,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-09-01,17544,936077.71,53.35600262197902,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-10-01,18684,996801.28,53.350528794690646,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-11-01,17556,936712.33,53.35568067897015,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2024-12-01,19452,1037707.77,53.34709901295497,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-01-01,15121,807006.1100000001,53.36989021890087,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-02-01,15074,804445.87,53.366450179116356,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-03-01,16249,867146.62,53.3661529940304,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-04-01,15976,784635.3999999999,49.11338257386078,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-05-01,16515,810277.32,49.06311353315168,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-06-01,15502,761027.93,49.092241646239195,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-07-01,16488,814819.4400000001,49.41893740902475,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-08-01,15320,757284.5599999999,49.43110704960835,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-09-01,15444,763514.74,49.437628852628855,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-10-01,15897,785826.79,49.4323954205196,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-11-01,14567,719854.56,49.41680236150203,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2025-12-01,17302,855216.88,49.42878742341926,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2026-01-01,12616,623858.0499999999,49.4497503170577,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2026-02-01,12906,638097.48,49.441924686192465,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2026-03-01,14651,724367.0099999999,49.441472254453615,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2026-04-01,13555,586109.3200000001,43.23934489118407,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2026-05-01,13696,592180.4400000001,43.237473714953275,DABIGATRAN,Capsule 110 mg (as mesilate)
02753X,2026-06-01,13826,597643.46,43.226056704759145,DABIGATRAN,Capsule 110 mg (as mesilate)
02769R,2022-07-01,16754,1367336.76,81.61255580756834,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2022-08-01,17462,1424404.05,81.57164414156455,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2022-09-01,16380,1337435.05,81.65049145299146,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2022-10-01,16593,1354637.88,81.63911770023503,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2022-11-01,16775,1369225.34,81.62297108792848,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2022-12-01,18759,1530852.99,81.60632176555254,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-01-01,14215,1160395.48,81.63176081603939,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-02-01,14744,1203361.81,81.61705168204016,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-03-01,16650,1358929.6500000001,81.6173963963964,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-04-01,15579,1270654.74,81.56202195262854,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-05-01,17031,1388123.57,81.50569960659973,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-06-01,16141,1316823.07,81.58249612787313,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-07-01,15836,1305619.01,82.44626231371558,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-08-01,16389,1351595.81,82.46969369699188,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-09-01,15443,1273555.02,82.46810982322087,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-10-01,15466,1275555.97,82.47484611405663,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-11-01,15597,1286301.23,82.47106687183432,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2023-12-01,15789,830174.15,52.57927354487301,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-01-01,12516,658358.49,52.601349472674976,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-02-01,12802,673489.38,52.60813779097016,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-03-01,13350,701710.72,52.56260074906367,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-04-01,13408,704169.86,52.51863514319809,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-05-01,13552,712097.08,52.545534238488784,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-06-01,12042,633071.0499999999,52.57191911642584,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-07-01,13014,690081.51,53.02608805901337,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-08-01,12498,662936.11,53.04337574011842,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-09-01,11739,622910.84,53.06336485220206,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-10-01,12295,652279.0599999999,53.05238389589263,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-11-01,11690,620320.41,53.064192472198464,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2024-12-01,12824,680145.47,53.03692061759201,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-01-01,10052,533352.51,53.059342419419025,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-02-01,9990,529899.85,53.043028028028026,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-03-01,10947,580533.78,53.03131268840779,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-04-01,10583,516671.56,48.82089766606822,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-05-01,10874,530392.95,48.77625068971859,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-06-01,10299,502543.76,48.79539372754636,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-07-01,10824,531907.98,49.1415354767184,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-08-01,10154,498803.98000000004,49.12389009257436,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-09-01,10136,498176.13,49.14918409629045,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-10-01,10415,511920.61,49.15224291886702,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-11-01,9492,466910.48,49.189894648124735,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2025-12-01,11139,547460.71,49.14810216356944,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2026-01-01,8488,417174.42,49.148729971724784,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2026-02-01,8357,411098.67,49.19213473734594,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2026-03-01,9650,474184.88,49.13832953367876,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2026-04-01,8922,383366.11,42.9686292311141,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2026-05-01,8999,386612.02,42.961664629403266,DABIGATRAN,Capsule 150 mg (as mesilate)
02769R,2026-06-01,8922,383481.33999999997,42.981544496749606,DABIGATRAN,Capsule 150 mg (as mesilate)
05061J,2022-07-01,3007,280614.84,93.32053209178584,APIXABAN,Tablet 2.5 mg
05061J,2022-08-01,3203,298966.52999999997,93.33953481111458,APIXABAN,Tablet 2.5 mg
05061J,2022-09-01,3049,284433.49,93.28746802230239,APIXABAN,Tablet 2.5 mg
05061J,2022-10-01,3160,294988.41000000003,93.35076265822786,APIXABAN,Tablet 2.5 mg
05061J,2022-11-01,3255,304116.12,93.43045161290323,APIXABAN,Tablet 2.5 mg
05061J,2022-12-01,3535,330621.22,93.52792644978783,APIXABAN,Tablet 2.5 mg
05061J,2023-01-01,3068,287052.76,93.56348109517602,APIXABAN,Tablet 2.5 mg
05061J,2023-02-01,3198,298200.58,93.24595997498437,APIXABAN,Tablet 2.5 mg
05061J,2023-03-01,3807,355711.27,93.43610979774101,APIXABAN,Tablet 2.5 mg
05061J,2023-04-01,3209,287131.60000000003,89.47697101900904,APIXABAN,Tablet 2.5 mg
05061J,2023-05-01,4044,361524.93,89.39785608308605,APIXABAN,Tablet 2.5 mg
05061J,2023-06-01,3849,344284.21,89.44770329955833,APIXABAN,Tablet 2.5 mg
05061J,2023-07-01,3798,343083.85000000003,90.33276724591892,APIXABAN,Tablet 2.5 mg
05061J,2023-08-01,4337,391197.7,90.20006917223888,APIXABAN,Tablet 2.5 mg
05061J,2023-09-01,4044,365249.21,90.31879574678537,APIXABAN,Tablet 2.5 mg
05061J,2023-10-01,4184,377648.88,90.26024856596558,APIXABAN,Tablet 2.5 mg
05061J,2023-11-01,4483,404193.21,90.16132277492751,APIXABAN,Tablet 2.5 mg
05061J,2023-12-01,4671,421792.85000000003,90.3003318347249,APIXABAN,Tablet 2.5 mg
05061J,2024-01-01,4456,403041.98,90.44927737881508,APIXABAN,Tablet 2.5 mg
05061J,2024-02-01,4760,429719.42,90.27718907563025,APIXABAN,Tablet 2.5 mg
05061J,2024-03-01,4821,435901.96,90.41733250362995,APIXABAN,Tablet 2.5 mg
05061J,2024-04-01,4988,450173.72,90.25134723336006,APIXABAN,Tablet 2.5 mg
05061J,2024-05-01,5531,499310.31,90.2748707286205,APIXABAN,Tablet 2.5 mg
05061J,2024-06-01,4958,448151.9,90.38965308592175,APIXABAN,Tablet 2.5 mg
05061J,2024-07-01,5811,528615.72,90.96811564274651,APIXABAN,Tablet 2.5 mg
05061J,2024-08-01,5534,380897.74,68.8286483556198,APIXABAN,Tablet 2.5 mg
05061J,2024-09-01,5592,384740.41000000003,68.80193311874106,APIXABAN,Tablet 2.5 mg
05061J,2024-10-01,6310,434330.41,68.83207765451664,APIXABAN,Tablet 2.5 mg
05061J,2024-11-01,5822,400414.99,68.77619203023016,APIXABAN,Tablet 2.5 mg
05061J,2024-12-01,6307,434581.20999999996,68.90458379578246,APIXABAN,Tablet 2.5 mg
05061J,2025-01-01,5585,384944.57,68.92472157564906,APIXABAN,Tablet 2.5 mg
05061J,2025-02-01,5488,377500.96,68.78661807580175,APIXABAN,Tablet 2.5 mg
05061J,2025-03-01,5803,398869.68,68.73508185421333,APIXABAN,Tablet 2.5 mg
05061J,2025-04-01,5737,394751.6099999999,68.80801987101272,APIXABAN,Tablet 2.5 mg
05061J,2025-05-01,6159,423770.7,68.8051144666342,APIXABAN,Tablet 2.5 mg
05061J,2025-06-01,5985,412277.57999999996,68.88514285714285,APIXABAN,Tablet 2.5 mg
05061J,2025-07-01,6585,455110.03,69.1131404707669,APIXABAN,Tablet 2.5 mg
05061J,2025-08-01,6139,423812.92000000004,69.03614920996905,APIXABAN,Tablet 2.5 mg
05061J,2025-09-01,6578,454186.34,69.0462663423533,APIXABAN,Tablet 2.5 mg
05061J,2025-10-01,6644,458349.58999999997,68.98699428055387,APIXABAN,Tablet 2.5 mg
05061J,2025-11-01,6159,425129.51999999996,69.0257379444715,APIXABAN,Tablet 2.5 mg
